date,open,high,low,close,volume,timestamp
2024-11-13,35.73,37.56,32.98,34.29,,1731456000.0
2024-11-17,34.01,35.48,30.73,35.18,,1731801600.0
2024-11-21,35.16,37.05,32.93,33.69,,1732147200.0
2024-11-25,33.68,44.8,32.54,42.09,,1732492800.0
2024-11-29,42.05,47.31,38.76,42.91,,1732838400.0
2024-12-03,42.81,52.09,42.64,52.09,,1733184000.0
2024-12-07,52.14,55.53,48.9,52.66,,1733529600.0
2024-12-11,52.59,54.26,41.58,44.6,,1733875200.0
2024-12-15,44.63,54.93,42.98,49.89,,1734220800.0
2024-12-19,49.86,51.69,42.76,42.83,,1734566400.0
2024-12-23,42.79,43.48,33.82,36.52,,1734912000.0
2024-12-27,36.53,41.85,35.7,37.27,,1735257600.0
2024-12-31,37.28,38.86,34.96,35.91,,1735603200.0
2025-01-04,35.92,42.1,35.0,41.82,,1735948800.0
2025-01-08,41.91,44.97,39.36,39.36,,1736294400.0
2025-01-12,39.17,39.79,35.65,37.13,,1736640000.0
2025-01-16,37.12,39.85,33.22,39.85,,1736985600.0
2025-01-20,39.88,41.75,35.33,35.75,,1737331200.0
2025-01-24,35.63,39.17,34.68,35.59,,1737676800.0
2025-01-28,35.67,38.06,32.94,34.17,,1738022400.0
2025-02-01,34.22,36.02,31.91,34.4,,1738368000.0
2025-02-05,34.41,34.99,23.03,26.5,,1738713600.0
2025-02-09,26.47,27.37,23.8,24.59,,1739059200.0
2025-02-13,24.58,26.98,23.82,26.5,,1739404800.0
2025-02-17,26.51,27.14,24.81,24.86,,1739750400.0
2025-02-21,24.86,25.85,23.0,25.16,,1740096000.0
2025-02-25,25.14,26.39,21.82,21.82,,1740441600.0
2025-03-01,21.89,23.35,20.32,22.36,,1740787200.0
2025-03-05,22.36,25.0,19.18,20.03,,1741132800.0
2025-03-09,19.95,22.45,19.48,20.47,,1741478400.0
2025-03-13,20.48,20.64,15.45,18.9,,1741824000.0
2025-03-17,18.9,19.77,17.82,18.32,,1742169600.0
2025-03-21,18.28,20.08,18.26,18.74,,1742515200.0
2025-03-25,18.8,22.07,18.38,21.48,,1742860800.0
2025-03-29,21.47,23.41,19.81,20.39,,1743206400.0
2025-04-02,20.39,20.51,18.23,19.82,,1743552000.0
2025-04-06,19.8,19.82,17.7,17.89,,1743897600.0
2025-04-10,17.88,18.75,14.77,18.45,,1744243200.0
2025-04-14,18.45,20.82,17.67,19.52,,1744588800.0
2025-04-18,19.55,20.57,18.61,19.07,,1744934400.0
2025-04-22,19.05,20.88,18.88,19.84,,1745280000.0
