date,open,high,low,close,volume
2024-12-03,655.61,666.49,629.31,647.12,
2024-12-07,647.45,788.84,630.67,732.54,
2024-12-11,731.84,760.89,651.6,675.42,
2024-12-15,675.88,732.4,659.76,715.45,
2024-12-19,715.52,735.66,686.72,687.66,
2024-12-23,685.72,704.59,618.83,648.57,
2024-12-27,648.82,716.37,638.46,687.52,
2024-12-31,688.3,728.75,684.3,703.11,
2025-01-04,703.59,716.85,697.49,713.05,
2025-01-08,713.85,742.2,692.3,696.83,
2025-01-12,697.07,706.14,674.29,696.73,
2025-01-16,696.64,715.31,658.69,714.79,
2025-01-20,715.83,728.47,674.78,682.35,
2025-01-24,681.17,716.37,662.39,689.69,
2025-01-28,690.54,692.8,638.4,679.68,
2025-02-01,680.32,689.1,659.15,677.11,
2025-02-05,677.47,681.51,523.65,573.6,
2025-02-09,572.55,632.86,560.85,614.71,
2025-02-13,612.4,703.18,597.78,698.07,
2025-02-17,698.32,728.54,652.8,674.73,
2025-02-21,674.11,681.01,631.1,657.24,
2025-02-25,656.65,678.61,611.65,611.65,
2025-03-01,613.06,630.37,559.2,587.55,
2025-03-05,587.07,637.69,548.88,583.15,
2025-03-09,582.45,611.32,576.38,593.08,
2025-03-13,593.17,593.17,512.35,570.72,
2025-03-17,569.41,621.16,567.68,602.02,
2025-03-21,602.19,641.06,602.19,630.22,
2025-03-25,630.4,639.22,619.26,635.82,
2025-03-29,637.16,644.81,615.06,619.52,
2025-04-02,619.42,623.16,588.42,611.03,
2025-04-06,610.65,611.36,578.47,594.09,
2025-04-10,593.57,593.57,523.38,582.26,
2025-04-14,582.3,599.6,567.47,583.64,
2025-04-18,583.79,592.8,576.67,590.14,
2025-04-22,590.2,607.52,587.72,596.74,
2025-04-26,597.12,619.3,595.29,600.19,
2025-04-30,600.27,610.41,598.12,600.59,
2025-05-04,600.96,604.67,593.07,599.25,
2025-05-08,599.29,608.56,584.65,603.14,
2025-05-12,602.97,674.3,601.25,650.87,
2025-05-16,650.96,690.35,642.22,651.14,
2025-05-20,651.11,658.88,636.19,651.04,
2025-05-24,650.97,689.76,641.41,655.37,
2025-05-28,657.13,693.02,657.13,687.44,
2025-06-01,687.4,689.77,648.65,658.57,
2025-06-05,658.55,671.88,648.09,663.7,
2025-06-09,663.65,670.13,627.41,652.27,
2025-06-13,652.28,673.62,648.87,656.48,
2025-06-17,656.14,659.13,639.26,651.48,
2025-06-21,650.63,658.56,638.09,641.47,
2025-06-25,641.57,644.95,602.75,643.41,
2025-06-29,644.24,649.55,640.58,648.77,
2025-07-03,648.76,664.55,644.68,660.03,
2025-07-07,659.99,665.17,650.7,663.02,
2025-07-11,663.18,686.93,656.66,685.11,
2025-07-15,685.71,706.95,680.95,689.32,
2025-07-19,689.18,759.58,676.25,729.51,
2025-07-23,729.65,786.84,722.5,786.48,
2025-07-27,786.78,808.09,746.44,794.29,
2025-07-31,792.87,858.34,773.43,793.87,
2025-08-04,793.12,812.03,731.72,751.4,
2025-08-08,751.22,787.19,747.06,787.19,
2025-08-12,787.83,825.28,781.23,806.83,
2025-08-16,806.2,866.96,799.29,827.29,
2025-08-20,827.63,862.74,823.46,823.46,
2025-08-24,823.19,899.77,819.39,880.21,
2025-08-28,880.29,885.53,831.87,856.06,
2025-09-01,855.45,878.8,851.09,857.82,
2025-09-05,856.74,866.88,841.09,843.67,
2025-09-09,843.71,884.34,843.44,878.23,
2025-09-13,879.05,928.67,872.18,925.17,
2025-09-17,925.37,958.49,912.06,955.35,
2025-09-21,956.04,1042.47,947.32,1042.41,
2025-09-25,1043.27,1079.07,965.16,1018.07,
2025-09-29,1018.46,1019.64,933.68,993.21,
2025-10-03,993.34,1097.5,992.07,1090.31,
2025-10-07,1091.16,1237.91,1085.89,1224.57,
2025-10-11,1226.05,1330.51,909.86,1110.81,
2025-10-15,1104.5,1369.99,1084.01,1212.28,
2025-10-19,1210.22,1221.52,1024.34,1092.46,
2025-10-23,1092.7,1142.54,1054.16,1071.34,
2025-10-27,1072.08,1148.78,1072.08,1136.88,
2025-10-31,1138.13,1179.58,1049.67,1078.72,
2025-11-04,1077.74,1104.27,973.48,992.2,
2025-11-08,992.66,999.92,888.75,990.59,
2025-11-12,991.37,1017.19,957.05,957.15,
2025-11-16,957.72,977.21,890.57,931.97,
2025-11-20,932.28,948.33,872.88,894.79,
2025-11-24,896.31,912.34,793.8,843.03,
2025-11-28,842.74,902.42,833.32,895.4,
2025-12-02,895.6,904.25,803.57,827.49,
