date,open,high,low,close,volume,timestamp
2024-11-13,473.68,473.68,422.19,436.65,,1731456000.0
2024-11-17,434.15,481.29,406.19,462.38,,1731801600.0
2024-11-21,462.32,483.07,425.96,441.39,,1732147200.0
2024-11-25,441.4,555.74,431.85,515.51,,1732492800.0
2024-11-29,515.23,527.37,474.07,512.14,,1732838400.0
2024-12-03,511.61,557.71,496.9,537.81,,1733184000.0
2024-12-07,537.9,639.99,523.4,619.3,,1733529600.0
2024-12-11,619.48,626.15,487.9,515.46,,1733875200.0
2024-12-15,515.88,562.32,506.04,533.94,,1734220800.0
2024-12-19,533.73,555.81,479.87,480.75,,1734566400.0
2024-12-23,479.93,488.19,390.91,444.83,,1734912000.0
2024-12-27,445.23,477.57,432.32,437.26,,1735257600.0
2024-12-31,437.17,459.47,429.15,443.15,,1735603200.0
2025-01-04,443.47,477.38,430.26,472.67,,1735948800.0
2025-01-08,473.31,485.38,436.74,437.93,,1736294400.0
2025-01-12,437.03,451.08,412.85,440.79,,1736640000.0
2025-01-16,440.8,463.34,406.06,461.38,,1736985600.0
2025-01-20,461.83,499.52,422.45,428.84,,1737331200.0
2025-01-24,426.59,471.5,417.05,437.3,,1737676800.0
2025-01-28,437.34,453.6,397.32,426.67,,1738022400.0
2025-02-01,427.24,445.13,405.22,424.12,,1738368000.0
2025-02-05,423.97,430.82,289.24,330.74,,1738713600.0
2025-02-09,329.9,337.94,309.53,323.43,,1739059200.0
2025-02-13,323.02,346.21,314.9,343.09,,1739404800.0
2025-02-17,343.14,349.6,326.31,326.31,,1739750400.0
2025-02-21,326.36,335.93,308.65,326.06,,1740096000.0
2025-02-25,325.97,333.29,290.09,290.09,,1740441600.0
2025-03-01,291.09,319.56,270.79,316.14,,1740787200.0
2025-03-05,315.47,347.11,294.18,320.18,,1741132800.0
2025-03-09,321.15,415.5,321.15,385.46,,1741478400.0
2025-03-13,385.55,386.21,320.52,353.97,,1741824000.0
2025-03-17,353.54,354.93,324.86,333.31,,1742169600.0
2025-03-21,333.02,349.19,329.66,333.4,,1742515200.0
2025-03-25,333.57,336.86,320.93,332.07,,1742860800.0
2025-03-29,332.64,340.45,305.22,307.58,,1743206400.0
2025-04-02,307.32,316.42,290.34,308.68,,1743552000.0
2025-04-06,308.32,314.82,290.98,303.98,,1743897600.0
2025-04-10,303.95,309.96,251.09,303.32,,1744243200.0
2025-04-14,302.04,352.08,283.23,342.45,,1744588800.0
2025-04-18,342.4,367.86,317.1,333.21,,1744934400.0
2025-04-22,333.38,347.55,327.88,344.63,,1745280000.0
2025-04-26,344.77,382.48,337.56,373.6,,1745625600.0
2025-04-30,373.53,376.38,342.93,363.53,,1745971200.0
2025-05-04,363.64,384.72,358.41,363.24,,1746316800.0
2025-05-08,363.06,382.93,350.25,382.93,,1746662400.0
2025-05-12,383.13,430.84,382.86,408.07,,1747008000.0
2025-05-16,408.21,417.14,385.49,395.15,,1747353600.0
2025-05-20,395.44,406.98,377.99,392.96,,1747699200.0
2025-05-24,392.98,454.07,385.22,428.01,,1748044800.0
2025-05-28,427.49,430.64,409.93,414.35,,1748390400.0
2025-06-01,414.62,426.82,393.28,414.51,,1748736000.0
2025-06-05,414.71,415.01,398.01,401.22,,1749081600.0
2025-06-09,401.01,418.32,380.31,411.6,,1749427200.0
2025-06-13,411.47,445.15,411.44,425.55,,1749772800.0
2025-06-17,425.14,474.11,399.54,467.24,,1750118400.0
2025-06-21,465.3,499.68,454.84,473.62,,1750464000.0
2025-06-25,473.53,476.62,438.49,453.68,,1750809600.0
2025-06-29,453.88,508.29,453.88,492.25,,1751155200.0
