date,open,high,low,close,volume
2024-12-03,1.15,1.22,1.062,1.2,
2024-12-07,1.2,1.31,1.13,1.23,
2024-12-11,1.23,1.23,0.916297,1.017,
2024-12-15,1.021,1.17,0.977138,1.06,
2024-12-19,1.06,1.12,0.968992,0.968992,
2024-12-23,0.966663,0.99654,0.764869,0.882796,
2024-12-27,0.882846,0.948189,0.852086,0.859342,
2024-12-31,0.860001,0.909515,0.830944,0.859131,
2025-01-04,0.859857,1.11,0.838504,1.09,
2025-01-08,1.09,1.15,0.993335,0.993335,
2025-01-12,0.989719,1.018,0.883368,0.996137,
2025-01-16,0.996161,1.085,0.890968,1.084,
2025-01-20,1.082,1.16,0.977349,0.991783,
2025-01-24,0.990995,1.099,0.953188,0.988034,
2025-01-28,0.988944,1.008,0.870333,0.933165,
2025-02-01,0.934381,0.985085,0.906144,0.942531,
2025-02-05,0.942374,0.954872,0.573037,0.74697,
2025-02-09,0.745131,0.774181,0.684536,0.702178,
2025-02-13,0.701232,0.815007,0.653449,0.797975,
2025-02-17,0.799801,0.826303,0.764474,0.77135,
2025-02-21,0.771638,0.824648,0.736624,0.804819,
2025-02-25,0.804161,0.816708,0.679996,0.679996,
2025-03-01,0.681066,0.693371,0.582591,0.634072,
2025-03-05,0.63325,1.14,0.627148,0.943545,
2025-03-09,0.940722,1.007,0.796445,0.804468,
2025-03-13,0.804538,0.81682,0.655585,0.736667,
2025-03-17,0.73486,0.758128,0.692569,0.706323,
2025-03-21,0.705276,0.750884,0.683834,0.717782,
2025-03-25,0.718501,0.74388,0.694244,0.729961,
2025-03-29,0.731466,0.773231,0.692464,0.70545,
2025-04-02,0.705489,0.710925,0.632468,0.678292,
2025-04-06,0.677335,0.698676,0.615877,0.656219,
2025-04-10,0.655058,0.655058,0.515683,0.632009,
2025-04-14,0.63137,0.664882,0.587994,0.637004,
2025-04-18,0.637274,0.654818,0.600705,0.616895,
2025-04-22,0.616579,0.648002,0.611129,0.622637,
2025-04-26,0.624096,0.736023,0.619538,0.713886,
2025-04-30,0.714045,0.73217,0.685023,0.695735,
2025-05-04,0.696119,0.727354,0.671081,0.701347,
2025-05-08,0.700582,0.712268,0.644808,0.671376,
2025-05-12,0.671289,0.843278,0.671262,0.804863,
2025-05-16,0.805149,0.854455,0.751045,0.760909,
2025-05-20,0.761143,0.784211,0.714853,0.742605,
2025-05-24,0.742898,0.834145,0.725323,0.748254,
2025-05-28,0.746365,0.774805,0.730566,0.757802,
2025-06-01,0.758044,0.762055,0.660954,0.686304,
2025-06-05,0.68618,0.703671,0.657509,0.666235,
2025-06-09,0.666113,0.687607,0.623316,0.669648,
2025-06-13,0.669726,0.728495,0.658566,0.664562,
2025-06-17,0.663057,0.663057,0.61553,0.634809,
2025-06-21,0.628159,0.641258,0.563579,0.576848,
2025-06-25,0.577155,0.592569,0.513977,0.587219,
2025-06-29,0.587418,0.589678,0.546167,0.565598,
2025-07-03,0.565672,0.597678,0.537969,0.584695,
2025-07-07,0.584661,0.609719,0.564366,0.585706,
2025-07-11,0.585909,0.678906,0.573416,0.677133,
2025-07-15,0.677021,0.77209,0.67089,0.733986,
2025-07-19,0.7347,0.886543,0.713459,0.816174,
2025-07-23,0.81617,0.929544,0.806644,0.902761,
2025-07-27,0.901857,0.901857,0.766607,0.81908,
2025-07-31,0.820093,0.853571,0.74143,0.764284,
2025-08-04,0.762966,0.787482,0.687351,0.726237,
2025-08-08,0.727117,0.786681,0.711705,0.786569,
2025-08-12,0.787322,0.833232,0.767534,0.774244,
2025-08-16,0.773145,1.014,0.768228,0.941799,
2025-08-20,0.944688,0.98031,0.844853,0.844853,
2025-08-24,0.845769,0.938456,0.823896,0.913167,
2025-08-28,0.914085,0.958741,0.832408,0.850097,
2025-09-01,0.850016,0.877546,0.808093,0.811693,
2025-09-05,0.810894,0.842774,0.785045,0.810336,
2025-09-09,0.809402,0.868259,0.806209,0.86468,
2025-09-13,0.868633,0.917246,0.853973,0.916948,
2025-09-17,0.917578,0.95164,0.8548,0.880387,
2025-09-21,0.880533,0.937981,0.863413,0.892576,
2025-09-25,0.893914,0.902962,0.797617,0.812384,
2025-09-29,0.812615,0.814391,0.757302,0.808037,
2025-10-03,0.808186,0.876675,0.78033,0.869214,
2025-10-07,0.87067,0.889768,0.829915,0.872101,
2025-10-11,0.874406,0.877289,0.472342,0.63869,
2025-10-15,0.635925,0.734399,0.613653,0.699745,
2025-10-19,0.699405,0.711689,0.595525,0.634067,
2025-10-23,0.634338,0.682743,0.614759,0.62295,
2025-10-27,0.623214,0.685022,0.623214,0.681843,
2025-10-31,0.681233,0.691589,0.58857,0.600502,
2025-11-04,0.600928,0.61916,0.545368,0.551563,
2025-11-08,0.55154,0.585593,0.49405,0.577428,
2025-11-12,0.578131,0.603184,0.548927,0.556327,
2025-11-16,0.555626,0.580177,0.495517,0.503533,
2025-11-20,0.503426,0.50835,0.439025,0.462366,
2025-11-24,0.462631,0.470234,0.39022,0.408786,
2025-11-28,0.4086,0.438287,0.404476,0.434179,
2025-12-02,0.433759,0.435839,0.372228,0.385917,
