date,open,high,low,close,volume,timestamp
2024-12-03,3.9,9.87,3.81,8.43,,1733184000.0
2024-12-07,8.43,14.35,7.95,13.82,,1733529600.0
2024-12-11,13.8,14.99,12.43,13.88,,1733875200.0
2024-12-15,13.58,24.29,13.09,24.28,,1734220800.0
2024-12-19,24.34,29.03,21.47,23.17,,1734566400.0
2024-12-23,23.3,34.96,21.94,28.22,,1734912000.0
2024-12-27,28.14,31.32,24.25,26.87,,1735257600.0
2024-12-31,27.09,29.47,25.85,26.92,,1735603200.0
2025-01-04,26.98,27.1,21.71,24.36,,1735948800.0
2025-01-08,24.44,26.22,22.93,23.7,,1736294400.0
2025-01-12,23.5,23.91,18.92,20.85,,1736640000.0
2025-01-16,20.92,24.3,19.0,24.25,,1736985600.0
2025-01-20,24.33,24.36,19.33,20.31,,1737331200.0
2025-01-24,20.27,26.89,19.44,22.16,,1737676800.0
2025-01-28,21.93,24.91,20.16,23.16,,1738022400.0
2025-02-01,23.33,28.21,21.68,26.91,,1738368000.0
2025-02-05,26.93,27.58,20.25,25.17,,1738713600.0
2025-02-09,25.11,27.33,22.09,23.52,,1739059200.0
2025-02-13,23.42,25.81,22.16,25.8,,1739404800.0
2025-02-17,25.83,28.26,24.65,26.79,,1739750400.0
2025-02-21,26.83,26.93,22.35,24.45,,1740096000.0
2025-02-25,24.48,25.51,20.0,20.0,,1740441600.0
2025-03-01,20.04,21.36,17.19,20.09,,1740787200.0
2025-03-05,20.04,21.03,15.48,17.3,,1741132800.0
2025-03-09,17.09,17.91,14.75,15.11,,1741478400.0
2025-03-13,15.11,15.55,12.71,13.26,,1741824000.0
2025-03-17,13.23,14.77,12.14,13.0,,1742169600.0
2025-03-21,12.97,15.74,12.92,14.2,,1742515200.0
2025-03-25,14.18,17.35,13.95,16.63,,1742860800.0
2025-03-29,16.73,16.95,12.91,13.37,,1743206400.0
2025-04-02,13.39,13.91,12.26,13.32,,1743552000.0
2025-04-06,13.31,14.31,11.05,12.04,,1743897600.0
2025-04-10,12.02,14.1,9.42,13.58,,1744243200.0
2025-04-14,13.57,16.78,13.28,15.36,,1744588800.0
2025-04-18,15.42,17.22,14.7,17.11,,1744934400.0
2025-04-22,17.15,18.48,16.46,18.14,,1745280000.0
2025-04-26,18.15,19.22,17.78,18.4,,1745625600.0
2025-04-30,18.4,19.04,16.95,18.52,,1745971200.0
2025-05-04,18.54,21.45,17.94,21.05,,1746316800.0
2025-05-08,20.95,21.42,19.59,21.04,,1746662400.0
2025-05-12,21.03,26.46,20.9,24.87,,1747008000.0
2025-05-16,24.87,26.28,23.5,26.09,,1747353600.0
2025-05-20,26.09,27.94,25.18,26.57,,1747699200.0
2025-05-24,26.56,37.24,25.59,32.72,,1748044800.0
2025-05-28,32.78,39.68,32.31,36.01,,1748390400.0
2025-06-01,36.03,36.11,30.93,32.88,,1748736000.0
2025-06-05,32.85,38.09,31.57,35.71,,1749081600.0
2025-06-09,35.69,36.28,32.82,35.14,,1749427200.0
2025-06-13,35.14,43.82,34.86,41.04,,1749772800.0
2025-06-17,40.93,45.57,37.65,42.45,,1750118400.0
2025-06-21,42.26,43.34,33.22,33.37,,1750464000.0
2025-06-25,33.34,38.76,31.65,37.38,,1750809600.0
2025-06-29,37.5,38.91,35.5,37.68,,1751155200.0
2025-07-03,37.78,41.08,36.88,40.01,,1751500800.0
2025-07-07,40.04,41.03,37.62,39.78,,1751846400.0
2025-07-11,39.8,43.94,37.08,43.73,,1752192000.0
2025-07-15,43.88,49.75,43.49,47.41,,1752537600.0
2025-07-19,47.47,48.42,43.48,44.39,,1752883200.0
2025-07-23,44.36,47.51,43.29,46.09,,1753228800.0
2025-07-27,46.11,46.11,41.25,43.44,,1753574400.0
2025-07-31,43.35,45.99,41.54,42.22,,1753920000.0
2025-08-04,42.23,44.66,35.79,38.22,,1754265600.0
2025-08-08,38.2,40.92,37.09,40.9,,1754611200.0
2025-08-12,40.91,46.72,40.24,43.25,,1754956800.0
2025-08-16,43.22,49.35,42.36,47.58,,1755302400.0
2025-08-20,47.73,48.19,40.96,41.11,,1755648000.0
2025-08-24,41.23,45.45,40.48,44.79,,1755993600.0
2025-08-28,44.86,50.99,42.57,46.96,,1756339200.0
2025-09-01,46.88,48.89,43.36,44.3,,1756684800.0
2025-09-05,44.28,46.36,42.61,45.4,,1757030400.0
2025-09-09,45.35,51.84,45.13,50.79,,1757376000.0
2025-09-13,50.86,57.3,50.59,55.21,,1757721600.0
2025-09-17,55.33,56.69,52.09,54.44,,1758067200.0
2025-09-21,54.41,59.3,53.89,54.11,,1758412800.0
2025-09-25,54.14,54.27,43.47,45.5,,1758758400.0
2025-09-29,45.56,47.28,40.11,47.16,,1759104000.0
2025-10-03,47.16,50.96,43.58,50.56,,1759449600.0
2025-10-07,50.66,51.33,47.47,47.47,,1759795200.0
2025-10-11,47.44,47.56,31.01,38.32,,1760140800.0
2025-10-15,38.12,43.51,35.38,39.53,,1760486400.0
2025-10-19,39.51,41.05,33.49,36.81,,1760832000.0
2025-10-23,36.87,39.43,34.54,36.29,,1761177600.0
2025-10-27,36.27,48.22,36.27,47.5,,1761523200.0
2025-10-31,47.31,49.94,43.11,45.47,,1761868800.0
2025-11-04,45.44,46.12,38.88,39.96,,1762214400.0
2025-11-08,40.11,43.16,35.9,42.34,,1762560000.0
2025-11-12,42.22,43.04,38.69,38.69,,1762905600.0
