date,open,high,low,close,volume
2024-12-03,8.61,8.83,8.57,8.79,
2024-12-07,8.79,9.63,8.74,9.44,
2024-12-11,9.43,9.56,9.03,9.47,
2024-12-15,9.47,9.73,8.95,9.42,
2024-12-19,9.4,9.79,9.1,9.1,
2024-12-23,9.1,9.49,8.99,9.3,
2024-12-27,9.3,9.58,9.07,9.13,
2024-12-31,9.13,9.33,8.94,9.03,
2025-01-04,9.02,9.16,8.35,9.11,
2025-01-08,9.1,9.18,8.77,9.0,
2025-01-12,9.0,9.42,8.46,9.34,
2025-01-16,9.34,9.69,9.13,9.65,
2025-01-20,9.65,9.79,9.4,9.61,
2025-01-24,9.6,9.93,9.27,9.73,
2025-01-28,9.74,9.83,9.6,9.67,
2025-02-01,9.67,9.87,9.62,9.77,
2025-02-05,9.77,9.93,9.49,9.86,
2025-02-09,9.85,9.91,9.73,9.82,
2025-02-13,9.82,9.95,9.74,9.83,
2025-02-17,9.83,9.9,9.58,9.71,
2025-02-21,9.58,9.83,9.56,9.74,
2025-02-25,9.74,9.82,8.7,8.74,
2025-03-01,8.75,9.54,8.72,9.3,
2025-03-05,9.29,10.07,9.18,9.91,
2025-03-09,9.88,10.07,9.7,9.79,
2025-03-13,9.8,10.14,9.53,9.71,
2025-03-17,9.69,9.85,9.51,9.8,
2025-03-21,9.79,9.87,9.59,9.76,
2025-03-25,9.75,9.82,9.72,9.77,
2025-03-29,9.79,9.87,9.66,9.69,
2025-04-02,9.7,9.76,9.06,9.22,
2025-04-06,9.21,9.63,8.9,9.13,
2025-04-10,9.11,9.39,8.8,9.39,
2025-04-14,9.39,9.48,9.29,9.36,
2025-04-18,9.36,9.47,9.04,9.07,
2025-04-22,9.07,9.49,9.01,9.08,
2025-04-26,9.08,9.33,8.8,8.93,
2025-04-30,8.93,9.13,8.89,8.98,
2025-05-04,8.97,9.16,8.84,8.95,
2025-05-08,8.95,9.13,8.6,8.79,
2025-05-12,8.8,8.9,8.19,8.34,
2025-05-16,8.34,9.05,8.32,8.73,
2025-05-20,8.73,9.03,8.57,8.62,
2025-05-24,8.62,8.91,8.62,8.79,
2025-05-28,8.79,9.48,8.56,9.08,
2025-06-01,9.1,9.24,8.6,8.62,
2025-06-05,8.61,9.06,8.33,9.06,
2025-06-09,9.05,9.32,8.64,9.25,
2025-06-13,9.25,9.32,8.69,8.89,
2025-06-17,8.89,9.33,8.84,9.23,
2025-06-21,9.24,9.27,8.84,8.88,
2025-06-25,8.88,9.16,8.85,8.99,
2025-06-29,8.99,9.1,8.98,9.08,
2025-07-03,9.08,9.18,8.9,9.01,
2025-07-07,9.01,9.09,8.97,9.01,
2025-07-11,9.0,9.13,8.91,9.03,
2025-07-15,9.03,9.1,8.93,9.0,
2025-07-19,9.0,9.04,8.77,8.97,
2025-07-23,8.97,9.02,8.95,8.98,
2025-07-27,8.98,9.01,8.94,8.98,
2025-07-31,8.98,8.99,8.93,8.95,
2025-08-04,8.95,8.98,8.86,8.96,
2025-08-08,8.96,9.01,8.92,8.97,
2025-08-12,8.97,9.14,8.95,8.98,
2025-08-16,8.98,9.72,8.96,9.49,
2025-08-20,9.49,9.67,9.39,9.6,
2025-08-24,9.6,9.65,9.49,9.6,
2025-08-28,9.6,9.63,9.49,9.58,
2025-09-01,9.58,9.62,9.41,9.61,
2025-09-05,9.61,9.63,9.46,9.54,
2025-09-09,9.53,9.62,9.48,9.54,
2025-09-13,9.53,9.67,9.51,9.59,
2025-09-17,9.58,9.66,9.5,9.54,
2025-09-21,9.54,9.56,9.47,9.51,
2025-09-25,9.5,9.56,9.41,9.45,
2025-09-29,9.45,9.6,9.44,9.58,
2025-10-03,9.58,9.66,9.48,9.64,
2025-10-07,9.64,9.7,9.56,9.65,
2025-10-11,9.65,9.69,9.45,9.61,
2025-10-15,9.61,9.69,9.56,9.63,
2025-10-19,9.63,9.68,9.24,9.4,
2025-10-23,9.4,9.47,8.94,8.97,
2025-10-27,8.96,9.02,8.95,8.96,
2025-10-31,8.96,9.66,8.95,9.59,
2025-11-04,9.59,9.63,9.25,9.57,
2025-11-08,9.52,9.58,8.64,9.2,
2025-11-12,9.18,9.36,8.98,9.24,
2025-11-16,9.24,9.26,8.86,9.15,
2025-11-20,9.15,9.61,9.1,9.38,
2025-11-24,9.37,9.52,9.04,9.44,
2025-11-28,9.49,9.81,9.43,9.78,
2025-12-02,9.79,9.91,9.68,9.85,
