date,open,high,low,close,volume,timestamp
2024-11-13,5.57,5.73,5.0,5.4,,1731456000.0
2024-11-17,5.36,6.37,5.01,5.96,,1731801600.0
2024-11-21,5.96,6.25,5.36,5.5,,1732147200.0
2024-11-25,5.49,6.96,5.33,6.92,,1732492800.0
2024-11-29,6.88,7.18,6.0,7.06,,1732838400.0
2024-12-03,7.03,7.42,6.48,7.42,,1733184000.0
2024-12-07,7.45,8.2,6.91,8.02,,1733529600.0
2024-12-11,8.03,8.06,5.98,6.43,,1733875200.0
2024-12-15,6.43,7.31,6.18,6.68,,1734220800.0
2024-12-19,6.67,7.02,5.7,5.71,,1734566400.0
2024-12-23,5.69,5.85,4.54,5.03,,1734912000.0
2024-12-27,5.03,5.66,4.93,5.08,,1735257600.0
2024-12-31,5.08,5.45,4.96,5.03,,1735603200.0
2025-01-04,5.04,5.82,4.88,5.79,,1735948800.0
2025-01-08,5.81,6.2,5.36,5.38,,1736294400.0
2025-01-12,5.36,5.44,4.85,5.08,,1736640000.0
2025-01-16,5.09,5.34,4.46,5.32,,1736985600.0
2025-01-20,5.33,5.88,4.91,4.98,,1737331200.0
2025-01-24,4.97,5.58,4.78,4.99,,1737676800.0
2025-01-28,4.98,5.18,4.4,4.63,,1738022400.0
2025-02-01,4.64,4.84,4.26,4.62,,1738368000.0
2025-02-05,4.62,4.68,2.96,3.41,,1738713600.0
2025-02-09,3.4,3.48,3.11,3.29,,1739059200.0
2025-02-13,3.29,3.46,3.05,3.43,,1739404800.0
2025-02-17,3.43,3.62,3.27,3.42,,1739750400.0
2025-02-21,3.42,3.49,3.03,3.47,,1740096000.0
2025-02-25,3.47,3.62,3.06,3.06,,1740441600.0
2025-03-01,3.06,3.17,2.77,3.07,,1740787200.0
2025-03-05,3.06,3.55,2.59,2.82,,1741132800.0
2025-03-09,2.81,3.24,2.78,2.88,,1741478400.0
2025-03-13,2.88,2.89,2.19,2.55,,1741824000.0
2025-03-17,2.55,2.71,2.49,2.52,,1742169600.0
2025-03-21,2.52,2.82,2.51,2.74,,1742515200.0
2025-03-25,2.74,3.03,2.68,2.91,,1742860800.0
2025-03-29,2.92,3.09,2.68,2.73,,1743206400.0
2025-04-02,2.73,2.77,2.48,2.65,,1743552000.0
2025-04-06,2.65,2.72,2.37,2.45,,1743897600.0
2025-04-10,2.44,2.45,1.83,2.1,,1744243200.0
2025-04-14,2.1,2.24,1.95,2.09,,1744588800.0
2025-04-18,2.09,2.2,1.93,2.05,,1744934400.0
2025-04-22,2.05,2.33,2.03,2.21,,1745280000.0
2025-04-26,2.22,2.65,2.16,2.62,,1745625600.0
2025-04-30,2.62,2.73,2.43,2.53,,1745971200.0
2025-05-04,2.53,2.62,2.4,2.43,,1746316800.0
2025-05-08,2.42,2.45,2.23,2.28,,1746662400.0
2025-05-12,2.29,3.36,2.28,3.14,,1747008000.0
2025-05-16,3.14,3.32,2.84,2.87,,1747353600.0
2025-05-20,2.88,2.98,2.66,2.77,,1747699200.0
2025-05-24,2.77,3.15,2.69,2.81,,1748044800.0
2025-05-28,2.8,2.91,2.66,2.81,,1748390400.0
2025-06-01,2.82,2.98,2.35,2.42,,1748736000.0
2025-06-05,2.42,2.58,2.37,2.44,,1749081600.0
2025-06-09,2.44,2.51,2.24,2.42,,1749427200.0
2025-06-13,2.42,2.72,2.37,2.38,,1749772800.0
2025-06-17,2.38,2.38,2.17,2.29,,1750118400.0
