date,exchange,base,target,volume,last_price,bid_ask_spread,crypto_id,crypto_name
2025-11-13,binance,XRP,USDT,141125250.0,2.387,0.01419,ripple,XRP
2025-11-13,coinbase exchange,XRP,USD,97249652.557529,2.3842,0.014194,ripple,XRP
2025-11-13,binance,XRP,USDC,46066543.7,2.3866,0.014189,ripple,XRP
2025-11-13,kraken,XRP,USD,15180977.34732827,2.38798,0.010419,ripple,XRP
2025-11-13,kraken,XRP,EUR,4482988.27548627,2.06026,0.010485,ripple,XRP
2025-11-13,binance,XRP,JPY,4828562.3,370.04,0.012703,ripple,XRP
2025-11-13,binance,XRP,EUR,4068866.8,2.0583,0.014851,ripple,XRP
2025-11-13,binance,XRP,TRY,5237421.2,101.0,0.0199,ripple,XRP
2025-11-13,binance,XRP,BTC,4973237.6,2.35e-05,0.042553,ripple,XRP
2025-11-13,binance us,XRP,USDT,5086954.580039361,2.3882,0.046114,ripple,XRP
2025-11-13,coinbase exchange,XRP,EUR,1747718.464431,2.0574,0.019436,ripple,XRP
2025-11-13,binance,XRP,ETH,516678.0,0.0007005,0.01428,ripple,XRP
2025-11-13,binance,XRP,BRL,234385.0,12.664,0.03951,ripple,XRP
