date,open,high,low,close,volume
2024-12-03,2.28,2.81,2.24,2.71,
2024-12-07,2.71,2.82,2.2,2.42,
2024-12-11,2.42,2.63,1.94,2.35,
2024-12-15,2.36,2.52,2.24,2.4,
2024-12-19,2.4,2.71,2.3,2.3,
2024-12-23,2.3,2.42,1.98,2.2,
2024-12-27,2.2,2.35,2.13,2.15,
2024-12-31,2.15,2.23,2.01,2.06,
2025-01-04,2.06,2.47,2.02,2.45,
2025-01-08,2.45,2.49,2.27,2.28,
2025-01-12,2.27,2.59,2.22,2.58,
2025-01-16,2.58,3.18,2.34,3.17,
2025-01-20,3.16,3.38,2.91,2.96,
2025-01-24,2.95,3.34,2.94,3.12,
2025-01-28,3.12,3.2,2.75,3.05,
2025-02-01,3.06,3.21,2.98,3.04,
2025-02-05,3.04,3.07,2.01,2.54,
2025-02-09,2.53,2.56,2.29,2.43,
2025-02-13,2.42,2.52,2.32,2.47,
2025-02-17,2.47,2.82,2.42,2.73,
2025-02-21,2.73,2.76,2.48,2.69,
2025-02-25,2.69,2.71,2.28,2.28,
2025-03-01,2.29,2.36,1.97,2.15,
2025-03-05,2.14,2.96,2.12,2.46,
2025-03-09,2.45,2.63,2.31,2.32,
2025-03-13,2.32,2.35,1.92,2.24,
2025-03-17,2.24,2.47,2.22,2.3,
2025-03-21,2.3,2.57,2.23,2.43,
2025-03-25,2.44,2.5,2.36,2.45,
2025-03-29,2.45,2.48,2.16,2.2,
2025-04-02,2.21,2.22,2.04,2.14,
2025-04-06,2.14,2.19,1.97,2.15,
2025-04-10,2.14,2.16,1.65,2.05,
2025-04-14,2.05,2.23,1.93,2.12,
2025-04-18,2.12,2.18,2.04,2.07,
2025-04-22,2.07,2.14,2.04,2.08,
2025-04-26,2.08,2.3,2.07,2.19,
2025-04-30,2.18,2.34,2.17,2.24,
2025-05-04,2.24,2.26,2.15,2.19,
2025-05-08,2.19,2.21,2.09,2.13,
2025-05-12,2.13,2.47,2.12,2.37,
2025-05-16,2.37,2.63,2.37,2.38,
2025-05-20,2.38,2.44,2.3,2.38,
2025-05-24,2.38,2.47,2.3,2.3,
2025-05-28,2.3,2.36,2.28,2.32,
2025-06-01,2.32,2.32,2.1,2.18,
2025-06-05,2.18,2.28,2.13,2.2,
2025-06-09,2.2,2.29,2.08,2.26,
2025-06-13,2.26,2.33,2.18,2.2,
2025-06-17,2.19,2.33,2.1,2.26,
2025-06-21,2.24,2.25,2.09,2.12,
2025-06-25,2.12,2.22,1.92,2.19,
2025-06-29,2.19,2.23,2.07,2.19,
2025-07-03,2.19,2.31,2.15,2.23,
2025-07-07,2.23,2.3,2.2,2.27,
2025-07-11,2.27,2.55,2.25,2.55,
2025-07-15,2.55,3.02,2.52,2.95,
2025-07-19,2.96,3.65,2.82,3.42,
2025-07-23,3.42,3.64,3.36,3.55,
2025-07-27,3.55,3.55,2.99,3.17,
2025-07-31,3.16,3.32,3.04,3.1,
2025-08-04,3.1,3.17,2.75,2.95,
2025-08-08,2.95,3.32,2.91,3.32,
2025-08-12,3.32,3.37,3.12,3.14,
2025-08-16,3.13,3.34,3.01,3.08,
2025-08-20,3.08,3.15,2.86,2.86,
2025-08-24,2.86,3.1,2.79,3.05,
2025-08-28,3.05,3.12,2.84,2.97,
2025-09-01,2.97,3.02,2.78,2.78,
2025-09-05,2.78,2.88,2.71,2.8,
2025-09-09,2.8,2.99,2.78,2.97,
2025-09-13,2.98,3.13,2.94,3.11,
2025-09-17,3.11,3.18,2.96,3.04,
2025-09-21,3.04,3.13,2.97,2.98,
2025-09-25,2.98,3.01,2.78,2.93,
2025-09-29,2.93,2.94,2.7,2.86,
2025-10-03,2.86,3.1,2.82,3.04,
2025-10-07,3.04,3.09,2.94,2.99,
2025-10-11,2.99,3.0,1.92,2.38,
2025-10-15,2.37,2.64,2.32,2.51,
2025-10-19,2.51,2.54,2.2,2.36,
2025-10-23,2.36,2.54,2.32,2.36,
2025-10-27,2.36,2.66,2.36,2.65,
2025-10-31,2.65,2.69,2.39,2.44,
2025-11-04,2.44,2.54,2.27,2.31,
2025-11-08,2.31,2.38,2.09,2.32,
2025-11-12,2.32,2.58,2.25,2.39,
2025-11-16,2.39,2.52,2.22,2.24,
2025-11-20,2.23,2.28,2.03,2.11,
2025-11-24,2.11,2.14,1.83,2.04,
2025-11-28,2.05,2.28,2.03,2.2,
2025-12-02,2.2,2.26,1.99,2.03,
