date,open,high,low,close,volume
2024-12-03,0.559047,0.584995,0.500862,0.537939,
2024-12-07,0.537404,0.580502,0.451013,0.495023,
2024-12-11,0.495385,0.504041,0.365229,0.434141,
2024-12-15,0.435805,0.449633,0.404093,0.424894,
2024-12-19,0.424096,0.469903,0.393468,0.396536,
2024-12-23,0.396461,0.413706,0.31389,0.355808,
2024-12-27,0.356104,0.412393,0.348087,0.353992,
2024-12-31,0.35428,0.367125,0.321661,0.331273,
2025-01-04,0.331325,0.457384,0.324308,0.449458,
2025-01-08,0.449457,0.481658,0.41731,0.418964,
2025-01-12,0.419208,0.45873,0.388065,0.445529,
2025-01-16,0.445798,0.492948,0.394477,0.492149,
2025-01-20,0.490287,0.514047,0.426896,0.433626,
2025-01-24,0.43264,0.476248,0.412933,0.432488,
2025-01-28,0.432294,0.449462,0.371,0.406782,
2025-02-01,0.407286,0.442982,0.383356,0.41434,
2025-02-05,0.414388,0.419634,0.282566,0.341827,
2025-02-09,0.340969,0.348163,0.314299,0.332605,
2025-02-13,0.331762,0.337512,0.303659,0.332849,
2025-02-17,0.333196,0.364268,0.323532,0.34241,
2025-02-21,0.342554,0.349302,0.316655,0.344858,
2025-02-25,0.344661,0.346024,0.297929,0.297929,
2025-03-01,0.298681,0.302684,0.253736,0.28643,
2025-03-05,0.286246,0.366395,0.275768,0.295206,
2025-03-09,0.294426,0.308925,0.272859,0.275866,
2025-03-13,0.275746,0.278792,0.229968,0.259755,
2025-03-17,0.259291,0.293408,0.259291,0.263599,
2025-03-21,0.263332,0.296276,0.263312,0.281178,
2025-03-25,0.282441,0.294907,0.273685,0.290358,
2025-03-29,0.290553,0.301482,0.27033,0.274291,
2025-04-02,0.274439,0.278781,0.259563,0.272329,
2025-04-06,0.272079,0.275709,0.248809,0.252538,
2025-04-10,0.252346,0.254085,0.201958,0.242028,
2025-04-14,0.242065,0.251259,0.225407,0.238168,
2025-04-18,0.238031,0.24683,0.231063,0.239532,
2025-04-22,0.239405,0.260939,0.238655,0.249499,
2025-04-26,0.249784,0.290548,0.244208,0.283986,
2025-04-30,0.283892,0.296446,0.276002,0.277963,
2025-05-04,0.278111,0.281463,0.268379,0.269657,
2025-05-08,0.26944,0.273004,0.252724,0.260344,
2025-05-12,0.260324,0.323026,0.25976,0.306057,
2025-05-16,0.30602,0.332728,0.288724,0.292111,
2025-05-20,0.292561,0.299982,0.278516,0.286525,
2025-05-24,0.286562,0.309823,0.281272,0.285923,
2025-05-28,0.285708,0.291412,0.279095,0.287062,
2025-06-01,0.287051,0.289539,0.259723,0.264493,
2025-06-05,0.26445,0.275889,0.262925,0.266833,
2025-06-09,0.266812,0.272426,0.254167,0.267608,
2025-06-13,0.267601,0.284337,0.2644,0.268186,
2025-06-17,0.267745,0.269195,0.253606,0.262609,
2025-06-21,0.261384,0.263423,0.240718,0.241873,
2025-06-25,0.241892,0.249456,0.217743,0.248582,
2025-06-29,0.248683,0.249045,0.232951,0.238847,
2025-07-03,0.23891,0.241893,0.223395,0.238266,
2025-07-07,0.238179,0.251171,0.235176,0.249744,
2025-07-11,0.250205,0.305131,0.246341,0.302962,
2025-07-15,0.302363,0.512091,0.298446,0.458087,
2025-07-19,0.461855,0.518121,0.432348,0.458995,
2025-07-23,0.459953,0.492665,0.450511,0.472001,
2025-07-27,0.472131,0.47316,0.40467,0.435834,
2025-07-31,0.435028,0.458018,0.39678,0.407395,
2025-08-04,0.407299,0.427929,0.363548,0.399135,
2025-08-08,0.399003,0.438764,0.385675,0.438134,
2025-08-12,0.438462,0.467011,0.428546,0.431221,
2025-08-16,0.431025,0.465095,0.413095,0.429697,
2025-08-20,0.429887,0.432734,0.390401,0.390401,
2025-08-24,0.390949,0.428352,0.382193,0.416415,
2025-08-28,0.416625,0.423062,0.378544,0.378802,
2025-09-01,0.378809,0.386761,0.352589,0.352825,
2025-09-05,0.351975,0.368431,0.344813,0.352523,
2025-09-09,0.352178,0.383523,0.351413,0.377774,
2025-09-13,0.37893,0.404727,0.37051,0.404689,
2025-09-17,0.404969,0.413806,0.37492,0.383924,
2025-09-21,0.384048,0.404292,0.380147,0.386609,
2025-09-25,0.386569,0.390525,0.354125,0.374984,
2025-09-29,0.375102,0.3766,0.34653,0.367801,
2025-10-03,0.367643,0.413697,0.358361,0.408338,
2025-10-07,0.40853,0.413313,0.388565,0.408986,
2025-10-11,0.409984,0.409984,0.232232,0.320536,
2025-10-15,0.31992,0.35424,0.310813,0.337534,
2025-10-19,0.337523,0.341823,0.291817,0.314126,
2025-10-23,0.314526,0.332336,0.303544,0.307782,
2025-10-27,0.308029,0.332331,0.308029,0.330737,
2025-10-31,0.330205,0.33664,0.291118,0.298441,
2025-11-04,0.298416,0.311815,0.274403,0.278005,
2025-11-08,0.278148,0.292392,0.256129,0.291652,
2025-11-12,0.292874,0.310268,0.273646,0.281563,
2025-11-16,0.281535,0.298867,0.25789,0.259509,
2025-11-20,0.2595,0.262549,0.235699,0.245735,
2025-11-24,0.246109,0.252654,0.218278,0.24693,
2025-11-28,0.247282,0.261735,0.24188,0.255539,
2025-12-02,0.255623,0.262302,0.227326,0.234005,
