date,open,high,low,close,volume
2024-12-03,0.997578,1.005,0.990333,0.997159,
2024-12-07,0.997712,1.014,0.990586,0.999973,
2024-12-11,0.999758,1.009,0.99117,0.999276,
2024-12-15,0.999182,1.007,0.991516,0.999914,
2024-12-19,1.0,1.008,0.992976,1.001,
2024-12-23,0.99867,1.007,0.992715,0.999325,
2024-12-27,0.999591,1.008,0.989835,0.998889,
2024-12-31,0.998756,1.004,0.989443,1.001,
2025-01-04,1.0,1.006,0.996027,0.999584,
2025-01-08,1.0,1.007,0.994618,0.999424,
2025-01-12,0.998669,1.008,0.99072,0.999241,
2025-01-16,1.0,1.019,0.988806,0.999835,
2025-01-20,1.002,1.009,0.983275,1.004,
2025-01-24,0.997228,1.015,0.985202,0.998345,
2025-01-28,1.0,1.007,0.994083,1.001,
2025-02-01,1.0,1.007,0.993578,1.003,
2025-02-05,1.003,1.011,0.989756,1.001,
2025-02-09,1.001,1.005,0.994418,0.999807,
2025-02-13,1.0,1.007,0.994786,1.0,
2025-02-17,1.002,1.004,0.996384,1.0,
2025-02-21,0.999416,1.003,0.996789,1.001,
2025-02-25,0.99945,1.009,0.993396,0.998417,
2025-03-01,0.998007,1.003,0.993045,0.999878,
2025-03-05,1.0,1.003,0.997963,0.999818,
2025-03-09,0.99983,1.003,0.994858,0.998964,
2025-03-13,0.999509,1.003,0.996975,0.999888,
2025-03-17,0.999604,1.002,0.997649,0.99975,
2025-03-21,0.999833,1.001,0.998353,1.0,
2025-03-25,0.999809,1.002,0.998683,0.999824,
2025-03-29,0.999478,1.001,0.998664,0.999824,
2025-04-02,0.999939,1.004,0.997691,1.0,
2025-04-06,0.999656,1.001,0.999272,0.999931,
2025-04-10,0.999894,1.001,0.998732,0.999906,
2025-04-14,0.999878,1.001,0.999203,0.999954,
2025-04-18,1.0,1.0,0.998723,0.999869,
2025-04-22,0.999908,1.0,0.999643,0.999812,
2025-04-26,0.999851,1.0,0.99955,1.0,
2025-04-30,1.0,1.0,0.99943,0.999968,
2025-05-04,0.999874,1.0,0.999496,1.0,
2025-05-08,0.999963,1.0,0.999733,0.999976,
2025-05-12,0.999894,1.0,0.999781,1.0,
2025-05-16,0.999909,1.0,0.999699,0.999866,
2025-05-20,0.999869,0.999963,0.999589,0.999713,
2025-05-24,0.999713,0.999977,0.999573,0.999812,
2025-05-28,0.99975,1.0,0.999573,0.999841,
2025-06-01,0.999879,1.0,0.999548,0.999682,
2025-06-05,0.999723,1.0,0.999639,0.999815,
2025-06-09,0.999807,0.999919,0.999461,0.999544,
2025-06-13,0.999626,1.0,0.999444,0.999933,
2025-06-17,0.999933,1.0,0.999521,0.999755,
2025-06-21,0.999785,0.999974,0.999417,0.999755,
2025-06-25,0.99964,1.0,0.999402,0.999895,
2025-06-29,0.999887,1.0,0.999286,0.999663,
2025-07-03,0.999736,1.0,0.99962,0.999777,
2025-07-07,0.999765,1.0,0.999508,0.999819,
2025-07-11,0.999872,1.0,0.999514,0.999654,
2025-07-15,0.999669,1.0,0.999548,0.999793,
2025-07-19,0.99982,1.0,0.999465,0.999907,
2025-07-23,0.99996,1.001,0.99964,0.99996,
2025-07-27,0.999943,1.0,0.999618,0.999828,
2025-07-31,0.999818,0.999967,0.999338,0.999828,
2025-08-04,0.999756,0.999992,0.999083,0.999661,
2025-08-08,0.999659,1.0,0.998726,0.999653,
2025-08-12,0.999326,0.999981,0.998549,0.999142,
2025-08-16,0.999453,1.0,0.998458,0.999753,
2025-08-20,0.999542,1.001,0.999056,0.999736,
2025-08-24,0.999709,1.0,0.998624,0.999234,
2025-08-28,0.999315,1.001,0.998574,1.0,
2025-09-01,1.0,1.0,0.999366,0.999787,
2025-09-05,0.999721,1.001,0.998442,0.999766,
2025-09-09,0.999721,1.001,0.997841,0.99974,
2025-09-13,0.999703,1.001,0.998268,0.999761,
2025-09-17,0.999581,1.0,0.999128,0.999612,
2025-09-21,0.9997,1.0,0.998141,1.0,
2025-09-25,1.0,1.0,0.998845,0.99966,
2025-09-29,0.999659,1.003,0.995952,0.999779,
2025-10-03,0.999701,1.003,0.993391,0.999731,
2025-10-07,0.999738,1.002,0.994694,0.999886,
2025-10-11,0.99973,1.012,0.992128,0.99532,
2025-10-15,0.997496,1.004,0.996854,0.999845,
2025-10-19,0.999889,1.005,0.994717,1.0,
2025-10-23,1.0,1.003,0.995609,1.0,
2025-10-27,1.0,1.001,0.997237,0.999832,
2025-10-31,0.999517,1.003,0.995585,0.999685,
2025-11-04,0.999634,1.002,0.996596,0.998937,
2025-11-08,0.999737,1.002,0.997529,0.999998,
2025-11-12,0.999886,1.002,0.997731,0.999058,
2025-11-16,0.999104,1.001,0.998281,0.999879,
2025-11-20,0.999826,1.002,0.998199,0.999773,
2025-11-24,0.999705,1.001,0.998061,0.999685,
2025-11-28,0.99966,1.001,0.997772,0.999535,
2025-12-02,0.999533,1.0,0.998763,0.999735,
