date,open,high,low,close,volume,timestamp
2024-11-13,3381.25,3403.92,3214.24,3259.68,,1731456000.0
2024-11-17,3249.56,3332.6,3016.21,3133.61,,1731801600.0
2024-11-21,3134.46,3220.12,3033.99,3077.03,,1732147200.0
2024-11-25,3077.67,3496.29,3038.54,3365.9,,1732492800.0
2024-11-29,3363.93,3685.14,3267.38,3579.57,,1732838400.0
2024-12-03,3573.32,3752.34,3540.16,3643.09,,1733184000.0
2024-12-07,3643.47,4091.51,3539.75,4012.47,,1733529600.0
2024-12-11,4009.17,4022.08,3524.7,3625.72,,1733875200.0
2024-12-15,3628.91,3982.65,3567.59,3864.18,,1734220800.0
2024-12-19,3867.5,4090.84,3628.65,3632.26,,1734566400.0
2024-12-23,3616.14,3713.6,3107.52,3274.85,,1734912000.0
2024-12-27,3276.67,3542.51,3225.54,3327.38,,1735257600.0
2024-12-31,3329.3,3434.31,3300.9,3361.29,,1735603200.0
2025-01-04,3358.31,3623.7,3312.81,3605.04,,1735948800.0
2025-01-08,3606.15,3735.9,3360.88,3380.1,,1736294400.0
2025-01-12,3380.56,3411.22,3155.91,3284.92,,1736640000.0
2025-01-16,3284.64,3464.57,2995.38,3445.19,,1736985600.0
2025-01-20,3453.07,3525.44,3128.68,3219.72,,1737331200.0
2025-01-24,3211.42,3435.46,3149.13,3329.87,,1737676800.0
2025-01-28,3334.39,3414.7,3042.83,3170.75,,1738022400.0
2025-02-01,3178.72,3429.88,3051.78,3291.54,,1738368000.0
2025-02-05,3297.25,3323.48,2397.18,2731.2,,1738713600.0
2025-02-09,2733.78,2854.82,2570.94,2635.4,,1739059200.0
2025-02-13,2631.82,2788.24,2541.74,2734.92,,1739404800.0
2025-02-17,2736.52,2787.92,2619.07,2662.88,,1739750400.0
2025-02-21,2661.11,2839.96,2614.32,2742.17,,1740096000.0
2025-02-25,2740.3,2839.78,2505.12,2508.7,,1740441600.0
2025-03-01,2514.01,2524.22,2084.03,2233.73,,1740787200.0
2025-03-05,2232.89,2540.33,2022.75,2173.05,,1741132800.0
2025-03-09,2166.72,2316.99,2113.92,2197.36,,1741478400.0
2025-03-13,2201.28,2208.17,1784.66,1911.68,,1741824000.0
2025-03-17,1905.19,1952.68,1824.94,1887.53,,1742169600.0
2025-03-21,1886.37,2066.78,1875.06,1979.06,,1742515200.0
2025-03-25,1982.42,2100.02,1939.21,2072.42,,1742860800.0
2025-03-29,2078.62,2094.21,1866.36,1896.91,,1743206400.0
2025-04-02,1899.02,1923.26,1777.68,1907.42,,1743552000.0
2025-04-06,1904.33,1939.72,1756.06,1808.18,,1743897600.0
2025-04-10,1806.25,1813.43,1395.54,1658.09,,1744243200.0
2025-04-14,1658.05,1666.34,1489.99,1587.38,,1744588800.0
2025-04-18,1587.36,1683.81,1543.1,1583.86,,1744934400.0
