date,open,high,low,close,volume
2024-12-03,23.42,23.67,23.21,23.31,
2024-12-07,23.31,25.34,23.23,25.1,
2024-12-11,25.05,25.22,24.51,24.89,
2024-12-15,24.87,25.29,24.67,25.11,
2024-12-19,25.11,25.52,24.59,24.74,
2024-12-23,24.83,25.32,24.18,24.34,
2024-12-27,24.35,25.07,24.2,24.64,
2024-12-31,24.61,25.01,24.28,24.59,
2025-01-04,24.57,24.95,24.43,24.81,
2025-01-08,24.84,27.23,24.79,27.15,
2025-01-24,28.26,29.08,28.02,28.14,
2025-01-28,28.15,28.68,27.83,28.24,
2025-02-01,28.18,28.78,28.08,28.2,
2025-02-05,28.19,28.46,27.45,27.77,
2025-02-09,27.73,27.97,27.13,27.2,
2025-02-13,27.19,27.95,27.05,27.38,
2025-02-17,27.37,27.62,26.92,27.25,
2025-02-21,27.23,27.54,26.9,27.47,
2025-02-25,27.5,27.8,27.09,27.1,
2025-03-01,27.22,27.44,25.48,26.74,
2025-03-05,26.7,31.28,26.31,29.43,
2025-03-09,29.45,30.65,28.64,28.92,
2025-03-13,28.95,29.32,27.86,28.78,
2025-03-17,28.74,28.96,28.03,28.34,
2025-03-21,28.3,28.89,28.03,28.56,
2025-03-25,28.6,29.41,28.35,29.29,
2025-03-29,29.27,29.42,28.69,28.74,
2025-04-02,28.76,28.78,28.04,28.14,
2025-04-06,28.12,28.53,27.25,28.17,
2025-04-10,28.11,28.43,27.23,28.1,
2025-04-14,28.09,28.21,27.64,27.75,
2025-04-18,27.73,27.98,27.59,27.87,
2025-04-22,27.85,28.29,27.81,28.22,
2025-04-26,28.23,29.17,28.23,29.02,
2025-04-30,29.03,29.47,28.95,29.02,
2025-05-04,29.02,29.39,28.79,28.82,
2025-05-08,28.83,28.87,28.08,28.54,
2025-05-12,28.54,30.45,28.51,30.11,
2025-05-16,30.16,30.43,30.05,30.23,
2025-05-20,30.23,30.53,29.98,30.2,
2025-05-24,30.2,32.05,30.06,31.72,
2025-05-28,31.72,32.43,31.61,31.78,
2025-06-01,31.77,31.93,31.02,31.31,
2025-06-05,31.31,31.56,30.99,31.26,
2025-06-09,31.27,31.65,30.96,31.23,
2025-06-13,31.22,34.3,31.21,34.06,
2025-06-17,34.06,52.27,33.55,51.71,
2025-06-21,51.67,51.86,47.59,48.99,
2025-06-25,48.99,49.17,47.45,48.12,
2025-06-29,48.13,48.17,45.33,47.38,
2025-07-03,47.38,47.64,42.36,43.62,
2025-07-07,43.63,45.74,43.5,45.0,
2025-07-11,44.99,47.14,44.49,46.69,
2025-07-15,46.72,46.91,45.74,45.81,
2025-07-19,45.82,46.09,43.75,44.22,
2025-07-23,44.22,45.11,43.97,44.95,
2025-07-27,45.05,45.05,43.06,44.07,
2025-07-31,44.05,45.04,43.37,44.15,
2025-08-04,44.18,44.45,41.75,42.6,
2025-08-08,42.6,44.28,42.34,44.13,
2025-08-12,44.19,46.09,43.8,44.89,
2025-08-16,44.91,47.21,44.63,44.81,
2025-08-20,44.83,45.39,42.69,42.69,
2025-08-24,42.69,44.92,42.35,44.26,
2025-08-28,44.25,44.37,42.55,43.1,
2025-09-01,43.13,43.96,41.78,42.19,
2025-09-05,42.2,43.32,41.81,42.22,
2025-09-09,42.21,43.19,41.99,42.57,
2025-09-13,42.56,44.46,42.17,44.39,
2025-09-17,44.39,44.49,43.25,43.95,
2025-09-21,43.95,44.39,43.14,43.37,
2025-09-25,43.37,43.38,41.63,42.17,
2025-09-29,42.17,42.23,40.42,41.61,
2025-10-03,41.6,44.02,41.25,43.82,
2025-10-07,43.86,45.31,43.43,44.95,
2025-10-11,44.95,45.11,40.63,42.48,
2025-10-15,42.37,43.76,41.36,43.01,
2025-10-19,42.99,43.11,39.93,41.02,
2025-10-23,41.02,42.52,40.73,41.16,
2025-10-27,41.17,43.34,41.17,43.3,
2025-10-31,43.24,43.86,40.46,42.22,
2025-11-04,42.23,55.41,42.23,53.92,
2025-11-08,53.93,54.42,50.57,54.09,
2025-11-12,54.02,55.67,53.13,53.95,
2025-11-16,53.99,55.79,52.08,52.79,
2025-11-20,52.85,62.96,50.35,60.13,
2025-11-24,60.2,60.98,55.67,57.09,
2025-11-28,57.0,60.04,56.06,59.41,
2025-12-02,59.39,60.02,55.15,57.95,
