date,open,high,low,close,volume
2024-12-03,3913.71,3966.09,3775.2,3846.92,
2024-12-07,3845.57,4310.63,3732.57,4221.65,
2024-12-11,4215.79,4248.32,3725.07,3828.13,
2024-12-15,3831.16,4213.1,3770.62,4081.0,
2024-12-19,4081.17,4317.06,3821.58,3821.58,
2024-12-23,3836.13,3926.37,3279.11,3470.22,
2024-12-27,3471.18,3736.93,3412.62,3519.87,
2024-12-31,3521.37,3626.01,3486.69,3554.55,
2025-01-04,3551.4,3835.81,3503.26,3811.76,
2025-01-08,3816.62,3954.65,3571.22,3578.57,
2025-01-12,3573.93,3611.62,3357.45,3473.25,
2025-01-16,3473.02,3674.14,3163.49,3653.26,
2025-01-20,3660.8,3730.05,3308.06,3375.31,
2025-01-24,3371.77,3680.48,3336.95,3529.96,
2025-01-28,3539.84,3616.42,3219.28,3358.08,
2025-02-01,3374.23,3625.1,3235.11,3489.84,
2025-02-05,3488.1,3524.95,2617.41,2890.73,
2025-02-09,2887.74,3026.63,2728.01,2797.14,
2025-02-13,2792.84,2944.51,2701.5,2905.07,
2025-02-17,2903.74,2957.16,2782.05,2823.19,
2025-02-21,2821.4,3017.38,2762.71,2911.61,
2025-02-25,2914.09,3011.37,2655.3,2655.3,
2025-03-01,2670.54,2684.26,2214.49,2371.96,
2025-03-05,2367.42,2699.56,2153.78,2303.57,
2025-03-09,2303.04,2458.98,2233.56,2334.49,
2025-03-13,2340.82,2347.59,1908.87,2030.67,
2025-03-17,2027.15,2076.66,1943.83,2007.64,
2025-03-21,2007.39,2204.09,1995.44,2108.58,
2025-03-25,2110.33,2238.51,2063.44,2213.3,
2025-03-29,2216.25,2228.11,1985.08,2018.57,
2025-04-02,2021.75,2047.99,1892.14,2034.51,
2025-04-06,2032.9,2064.39,1871.67,1928.24,
2025-04-10,1927.57,1933.87,1501.6,1770.36,
2025-04-14,1771.04,1774.07,1584.84,1701.63,
2025-04-18,1701.42,1795.58,1661.81,1692.03,
2025-04-22,1691.33,1761.42,1674.57,1680.38,
2025-04-26,1685.14,1939.96,1661.3,1909.83,
2025-04-30,1908.78,1974.29,1877.54,1921.87,
2025-05-04,1920.42,1994.26,1869.04,1960.09,
2025-05-08,1960.09,1972.72,1878.12,1937.44,
2025-05-12,1937.22,2765.99,1936.03,2672.22,
2025-05-16,2672.28,2890.45,2588.83,2717.76,
2025-05-20,2717.76,2821.92,2528.09,2690.2,
2025-05-24,2690.19,2904.75,2626.49,2692.69,
2025-05-28,2692.69,2888.18,2640.38,2842.23,
2025-06-01,2842.24,2960.39,2668.64,2715.39,
2025-06-05,2714.94,2855.42,2657.33,2795.49,
2025-06-09,2795.44,2822.42,2578.27,2685.04,
2025-06-13,2685.04,3077.54,2661.73,2845.31,
2025-06-17,2845.27,2863.2,2643.88,2749.5,
2025-06-21,2749.42,2800.92,2561.98,2578.22,
2025-06-25,2578.22,2654.11,2291.94,2622.46,
2025-06-29,2622.47,2694.98,2566.0,2615.08,
2025-07-03,2615.08,2792.67,2565.16,2763.78,
2025-07-07,2759.36,2821.18,2660.24,2755.07,
2025-07-11,2754.76,3192.72,2708.46,3169.53,
2025-07-15,3167.42,3295.16,3121.95,3231.78,
2025-07-19,3232.0,3933.12,3158.81,3798.0,
2025-07-23,3796.51,4131.28,3777.64,4018.01,
2025-07-27,4018.01,4053.17,3798.07,4035.28,
2025-07-31,4035.28,4225.86,3963.54,4089.48,
2025-08-04,4089.49,4170.62,3622.73,3758.1,
2025-08-08,3758.09,4199.92,3754.39,4194.2,
2025-08-12,4194.2,4682.47,4182.15,4546.35,
2025-08-16,4546.32,5142.46,4546.31,4762.24,
2025-08-20,4762.25,4908.34,4388.19,4388.19,
2025-08-24,4388.13,5237.14,4385.93,5137.06,
2025-08-28,5137.09,5330.78,4670.2,4844.84,
2025-09-01,4854.16,4982.67,4610.9,4729.49,
2025-09-05,4725.91,4834.85,4573.15,4638.71,
2025-09-09,4633.32,4817.44,4578.56,4632.99,
2025-09-13,4639.4,5092.31,4612.48,5078.76,
2025-09-17,5084.17,5136.93,4779.62,4858.12,
2025-09-21,4855.79,4999.89,4781.38,4834.71,
2025-09-25,4833.63,4850.61,4446.16,4477.37,
2025-09-29,4479.19,4488.13,4133.05,4463.08,
2025-10-03,4468.81,4867.6,4412.7,4840.09,
2025-10-07,4834.82,5105.39,4786.9,5053.92,
2025-10-11,5058.49,5123.92,3294.19,4039.02,
2025-10-15,4021.61,4608.99,3919.8,4446.04,
2025-10-19,4443.46,4530.57,3977.88,4194.91,
2025-10-23,4197.16,4429.07,4022.74,4103.94,
2025-10-27,4105.01,4503.67,4105.01,4492.06,
2025-10-31,4482.37,4586.59,3984.6,4108.83,
2025-11-04,4115.27,4230.6,3856.61,3889.8,
2025-11-08,3889.25,3945.79,3327.96,3713.09,
2025-11-12,3709.56,3947.35,3634.46,3696.86,
2025-11-16,3710.36,3876.47,3328.4,3432.62,
2025-11-20,3426.54,3506.07,3110.49,3275.51,
2025-11-24,3270.39,3307.98,2850.03,3032.76,
2025-11-28,3025.46,3322.55,2993.6,3266.1,
2025-12-02,3264.1,3350.83,2951.71,3032.53,
