date,open,high,low,close,volume
2024-12-03,3903.82,3952.34,3760.94,3826.9,
2024-12-07,3826.88,4311.81,3725.82,4231.66,
2024-12-11,4224.97,4243.32,3718.04,3830.15,
2024-12-15,3828.4,4205.32,3765.84,4075.16,
2024-12-19,4074.29,4310.42,3816.26,3816.26,
2024-12-23,3832.24,3919.76,3278.74,3455.86,
2024-12-27,3457.99,3731.45,3403.55,3511.39,
2024-12-31,3511.0,3617.6,3480.16,3545.96,
2025-01-04,3541.89,3826.72,3495.6,3807.32,
2025-01-08,3811.47,3946.34,3556.99,3571.88,
2025-01-12,3570.61,3605.54,3334.42,3472.5,
2025-01-16,3472.65,3668.83,3161.48,3640.08,
2025-01-20,3647.43,3721.19,3309.22,3385.73,
2025-01-24,3378.54,3645.54,3321.44,3515.71,
2025-01-28,3513.85,3627.22,3220.42,3355.96,
2025-02-01,3362.53,3626.6,3223.26,3489.23,
2025-02-05,3489.42,3518.37,2531.65,2898.44,
2025-02-09,2896.09,3021.28,2722.75,2790.91,
2025-02-13,2787.86,2953.74,2693.44,2899.54,
2025-02-17,2898.32,2947.81,2777.66,2820.44,
2025-02-21,2816.96,2990.69,2769.47,2905.13,
2025-02-25,2903.29,3008.69,2654.41,2654.41,
2025-03-01,2666.56,2671.16,2214.58,2366.16,
2025-03-05,2360.12,2688.21,2145.21,2301.25,
2025-03-09,2297.6,2458.14,2237.35,2333.44,
2025-03-13,2336.66,2345.79,1889.13,2030.24,
2025-03-17,2024.32,2072.22,1938.08,2003.23,
2025-03-21,2004.05,2197.84,1992.38,2101.88,
2025-03-25,2106.31,2231.33,2060.49,2205.95,
2025-03-29,2211.49,2224.4,1983.27,2017.63,
2025-04-02,2018.85,2043.61,1888.67,2030.07,
2025-04-06,2027.81,2056.97,1863.73,1920.17,
2025-04-10,1921.61,1928.53,1505.24,1766.12,
2025-04-14,1768.07,1771.35,1585.98,1694.77,
2025-04-18,1697.23,1793.01,1645.63,1686.76,
2025-04-22,1686.7,1761.28,1673.83,1681.22,
2025-04-26,1681.43,1941.17,1658.4,1906.38,
2025-04-30,1905.22,1967.89,1871.41,1912.58,
2025-05-04,1917.19,1990.16,1863.51,1955.61,
2025-05-08,1955.31,1968.35,1873.29,1938.75,
2025-05-12,1938.78,2763.66,1932.7,2679.23,
2025-05-16,2680.61,2893.36,2586.52,2714.85,
2025-05-20,2714.39,2817.54,2521.44,2699.8,
2025-05-24,2699.35,2903.91,2618.32,2698.2,
2025-05-28,2695.61,2879.57,2642.06,2840.53,
2025-06-01,2839.79,2959.19,2665.56,2703.98,
2025-06-05,2703.74,2847.83,2650.02,2789.94,
2025-06-09,2789.34,2816.87,2570.31,2680.69,
2025-06-13,2681.76,3067.58,2655.9,2837.03,
2025-06-17,2832.69,2858.64,2630.27,2741.34,
2025-06-21,2719.58,2795.61,2550.88,2574.0,
2025-06-25,2575.38,2649.33,2278.64,2616.58,
2025-06-29,2616.73,2682.66,2561.52,2609.54,
2025-07-03,2609.43,2797.91,2556.87,2757.3,
2025-07-07,2755.92,2819.05,2654.68,2754.68,
2025-07-11,2754.25,3191.09,2700.95,3164.08,
2025-07-15,3163.55,3291.72,3117.94,3227.3,
2025-07-19,3227.93,3930.19,3144.32,3790.21,
2025-07-23,3790.56,4118.4,3762.37,4010.76,
2025-07-27,4002.3,4042.76,3774.76,4015.7,
2025-07-31,4015.7,4219.55,3953.12,4076.06,
2025-08-04,4081.69,4154.33,3609.31,3749.67,
2025-08-08,3749.21,4198.4,3744.92,4193.67,
2025-08-12,4195.49,4669.02,4160.86,4530.52,
2025-08-16,4529.94,5124.17,4529.94,4744.58,
2025-08-20,4757.19,4891.72,4371.05,4371.05,
2025-08-24,4368.83,5223.97,4368.83,5116.73,
2025-08-28,5119.19,5296.78,4644.18,4825.06,
2025-09-01,4820.64,4949.07,4574.27,4704.6,
2025-09-05,4706.19,4810.95,4553.91,4614.91,
2025-09-09,4609.8,4799.11,4563.85,4618.58,
2025-09-13,4624.5,5070.95,4595.91,5058.93,
2025-09-17,5063.26,5113.83,4764.89,4838.98,
2025-09-21,4841.36,4994.31,4773.57,4821.09,
2025-09-25,4821.51,4838.67,4417.91,4471.42,
2025-09-29,4471.13,4480.09,4125.51,4457.7,
2025-10-03,4460.72,4866.23,4404.55,4833.43,
2025-10-07,4834.47,5102.17,4778.39,5059.44,
2025-10-11,5056.12,5124.64,3869.27,4146.7,
2025-10-15,4139.11,4620.52,3953.11,4454.2,
2025-10-19,4452.24,4534.23,3979.24,4194.55,
2025-10-23,4196.6,4426.14,4021.64,4101.12,
2025-10-27,4106.16,4506.29,4103.78,4493.16,
2025-10-31,4486.39,4585.13,3985.19,4101.26,
2025-11-04,4109.48,4227.87,3850.81,3881.35,
2025-11-08,3884.35,3938.72,3335.09,3703.7,
2025-11-12,3698.26,3936.33,3624.4,3686.58,
2025-11-16,3689.81,3869.29,3321.03,3426.77,
2025-11-20,3425.39,3502.75,3105.75,3260.37,
2025-11-24,3268.6,3294.68,2838.14,3027.03,
2025-11-28,3025.52,3314.18,2988.58,3261.03,
2025-12-02,3260.52,3342.55,2947.79,3030.45,
