date,open,high,low,close,volume
2024-12-03,4400.57,4435.63,4245.37,4291.71,
2024-12-07,4322.04,4836.39,4195.51,4755.65,
2024-12-11,4748.85,4779.31,4190.92,4320.97,
2024-12-15,4307.04,4715.78,4242.12,4586.61,
2024-12-19,4590.29,4824.13,4321.35,4321.35,
2024-12-23,4331.22,4394.67,3680.21,3887.82,
2024-12-27,3896.63,4186.28,3845.24,4003.79,
2024-12-31,3963.24,4072.52,3921.37,3982.79,
2025-01-04,3984.81,4308.85,3941.92,4289.26,
2025-01-08,4290.82,4436.09,3997.91,4025.49,
2025-01-12,4027.18,4051.27,3793.0,3912.75,
2025-01-16,3914.79,4107.04,3528.97,4095.89,
2025-01-20,4102.1,4186.2,3732.2,3859.27,
2025-01-24,3839.24,4062.4,3777.73,3951.92,
2025-01-28,3958.29,4054.15,3616.57,3772.91,
2025-02-01,3777.19,4064.41,3627.21,3917.99,
2025-02-05,3921.79,3955.04,2801.5,3232.85,
2025-02-09,3251.23,3404.89,3065.82,3144.42,
2025-02-13,3143.28,3322.28,3047.89,3268.57,
2025-02-17,3267.5,3322.44,3130.05,3178.63,
2025-02-21,3177.56,3371.97,3120.93,3275.19,
2025-02-25,3274.74,3391.45,2988.23,2988.23,
2025-03-01,3004.18,3011.32,2496.06,2663.51,
2025-03-05,2658.31,3019.54,2402.77,2586.61,
2025-03-09,2585.99,2768.58,2529.14,2639.43,
2025-03-13,2658.3,2658.3,2129.84,2281.82,
2025-03-17,2279.85,2333.76,2184.19,2248.04,
2025-03-21,2254.77,2468.55,2244.56,2366.81,
2025-03-25,2368.7,2513.65,2319.45,2485.11,
2025-03-29,2486.45,2505.12,2236.21,2255.63,
2025-04-02,2270.49,2301.47,2129.81,2285.43,
2025-04-06,2280.48,2313.5,2101.98,2157.44,
2025-04-10,2157.77,2170.77,1673.64,1987.57,
2025-04-14,1987.82,1999.53,1785.9,1905.16,
2025-04-18,1905.25,2018.36,1864.11,1899.41,
2025-04-22,1899.28,1982.1,1884.8,1892.92,
2025-04-26,1893.85,2184.2,1869.97,2149.37,
2025-04-30,2146.93,2217.25,2106.76,2154.12,
2025-05-04,2155.68,2241.47,2096.5,2202.62,
2025-05-08,2202.52,2217.02,2109.97,2175.25,
2025-05-12,2175.62,3099.18,2175.48,3016.13,
2025-05-16,3016.81,3253.59,2913.21,3049.0,
2025-05-20,3047.08,3162.97,2836.4,3036.98,
2025-05-24,3036.31,3273.72,2954.56,3038.79,
2025-05-28,3034.91,3245.3,2970.42,3199.0,
2025-06-01,3205.93,3336.47,3000.87,3050.48,
2025-06-05,3047.7,3211.67,2986.82,3137.49,
2025-06-09,3139.26,3174.58,2893.12,3020.92,
2025-06-13,3020.93,3455.87,2992.2,3198.09,
2025-06-17,3195.33,3221.31,2960.18,3091.54,
2025-06-21,3088.5,3151.65,2879.25,2904.51,
2025-06-25,2904.58,2981.46,2564.89,2955.85,
2025-06-29,2950.42,3035.48,2886.76,2941.07,
2025-07-03,2940.12,3137.21,2878.25,3113.67,
2025-07-07,3108.83,3176.33,2992.59,3098.47,
2025-07-11,3099.14,3590.8,3044.52,3564.47,
2025-07-15,3562.49,3707.15,3516.58,3637.79,
2025-07-19,3637.65,4420.51,3548.61,4269.98,
2025-07-23,4270.89,4638.23,4251.81,4511.38,
2025-07-27,4510.2,4560.06,4249.28,4521.08,
2025-07-31,4520.36,4759.39,4442.83,4594.1,
2025-08-04,4593.64,4690.98,4060.45,4226.9,
2025-08-08,4224.32,4725.8,4224.32,4723.79,
2025-08-12,4730.59,5267.13,4694.65,5108.49,
2025-08-16,5110.89,5776.07,5110.89,5346.18,
2025-08-20,5360.81,5511.18,4928.58,4928.58,
2025-08-24,4929.46,5884.61,4925.25,5766.11,
2025-08-28,5689.58,5965.84,5228.76,5446.97,
2025-09-01,5443.58,5583.81,5165.83,5310.29,
2025-09-05,5309.43,5430.73,5126.82,5212.85,
2025-09-09,5204.99,5410.05,5151.05,5213.89,
2025-09-13,5219.36,5719.53,5185.85,5704.81,
2025-09-17,5710.36,5769.04,5377.06,5459.87,
2025-09-21,5461.68,5624.82,5387.97,5437.18,
2025-09-25,5437.03,5454.6,4998.42,5039.61,
2025-09-29,5039.78,5049.95,4644.36,5029.48,
2025-10-03,5026.5,5483.3,4970.7,5447.96,
2025-10-07,5445.7,5753.15,5397.34,5698.93,
2025-10-11,5699.47,5774.26,4399.31,4666.2,
2025-10-15,4679.5,5207.47,4449.87,5020.22,
2025-10-19,5018.6,5108.18,4486.0,4728.43,
2025-10-23,4730.83,4990.94,4534.16,4625.04,
2025-10-27,4629.15,5080.47,4628.76,5069.36,
2025-10-31,5060.31,5170.03,4487.29,4626.53,
2025-11-04,4630.92,4763.7,4343.26,4379.89,
2025-11-08,4380.33,4441.59,3766.23,4185.84,
2025-11-12,4184.9,4440.78,4092.45,4160.3,
2025-11-16,4164.52,4364.82,3749.3,3862.79,
2025-11-20,3860.81,3950.54,3502.48,3673.19,
2025-11-24,3683.19,3717.01,3220.78,3416.93,
2025-11-28,3415.52,3735.41,3379.05,3676.12,
2025-12-02,3676.2,3767.15,3325.65,3418.2,
