date,open,high,low,close,volume,timestamp
2024-11-13,45.04,45.04,40.21,42.34,,1731456000.0
2024-11-17,42.14,46.5,36.52,44.92,,1731801600.0
2024-11-21,44.98,47.64,40.94,41.77,,1732147200.0
2024-11-25,41.77,55.91,40.85,52.36,,1732492800.0
2024-11-29,52.46,58.67,44.25,55.84,,1732838400.0
2024-12-03,55.82,76.43,53.71,74.78,,1733184000.0
2024-12-07,74.8,78.24,68.1,70.3,,1733529600.0
2024-12-11,70.15,74.92,54.04,58.98,,1733875200.0
2024-12-15,59.02,67.27,56.73,58.25,,1734220800.0
2024-12-19,58.28,61.26,50.59,50.68,,1734566400.0
2024-12-23,50.57,58.89,41.35,57.47,,1734912000.0
2024-12-27,58.04,77.43,54.96,68.99,,1735257600.0
2024-12-31,68.98,70.38,57.02,58.02,,1735603200.0
2025-01-04,58.09,61.76,54.94,60.91,,1735948800.0
2025-01-08,60.9,61.3,51.85,52.41,,1736294400.0
2025-01-12,52.3,53.21,46.63,48.72,,1736640000.0
2025-01-16,48.74,55.41,43.92,55.35,,1736985600.0
2025-01-20,55.43,56.48,46.48,47.27,,1737331200.0
2025-01-24,47.1,51.21,45.86,48.68,,1737676800.0
2025-01-28,48.59,49.13,41.25,42.99,,1738022400.0
2025-02-01,43.09,45.66,41.16,43.16,,1738368000.0
2025-02-05,43.17,43.8,26.63,32.15,,1738713600.0
2025-02-09,32.13,33.56,29.19,31.75,,1739059200.0
2025-02-13,31.65,35.27,30.78,32.65,,1739404800.0
2025-02-17,32.67,35.67,31.14,34.55,,1739750400.0
2025-02-21,34.56,38.78,32.69,36.58,,1740096000.0
2025-02-25,36.58,38.17,32.79,33.1,,1740441600.0
2025-03-01,33.12,37.66,30.92,37.57,,1740787200.0
2025-03-05,37.54,43.21,33.43,35.05,,1741132800.0
2025-03-09,34.95,37.61,32.32,32.57,,1741478400.0
2025-03-13,32.59,32.81,28.17,30.46,,1741824000.0
2025-03-17,30.35,33.91,29.91,32.8,,1742169600.0
2025-03-21,32.77,34.84,32.32,33.95,,1742515200.0
2025-03-25,33.98,34.0,29.97,32.33,,1742860800.0
2025-03-29,32.42,39.7,31.8,36.75,,1743206400.0
2025-04-02,36.9,42.17,35.18,41.01,,1743552000.0
2025-04-06,41.05,41.36,37.08,38.04,,1743897600.0
2025-04-10,37.64,38.54,28.16,36.75,,1744243200.0
2025-04-14,36.78,37.98,31.57,32.06,,1744588800.0
2025-04-18,32.13,34.52,30.29,30.7,,1744934400.0
2025-04-22,30.7,32.24,29.99,31.2,,1745280000.0
2025-04-26,31.21,35.17,30.79,34.44,,1745625600.0
2025-04-30,34.52,40.14,32.3,34.49,,1745971200.0
2025-05-04,34.49,37.84,34.36,35.42,,1746316800.0
2025-05-08,36.02,41.09,34.47,40.47,,1746662400.0
2025-05-12,40.51,45.51,39.59,45.34,,1747008000.0
2025-05-16,45.19,45.84,40.18,42.26,,1747353600.0
2025-05-20,42.25,42.51,39.14,41.02,,1747699200.0
2025-05-24,41.04,50.29,39.72,47.44,,1748044800.0
2025-05-28,47.46,56.16,46.41,51.85,,1748390400.0
2025-06-01,51.87,55.15,45.62,50.11,,1748736000.0
2025-06-05,50.1,55.45,49.78,50.28,,1749081600.0
2025-06-09,50.28,50.97,46.52,48.84,,1749427200.0
2025-06-13,48.77,52.73,47.66,48.13,,1749772800.0
2025-06-17,48.08,48.08,42.97,43.3,,1750118400.0
2025-06-21,43.16,43.17,39.48,40.22,,1750464000.0
2025-06-25,40.3,42.86,36.61,42.65,,1750809600.0
2025-06-29,42.69,43.05,37.49,39.0,,1751155200.0
2025-07-03,38.99,40.46,36.45,38.96,,1751500800.0
2025-07-07,38.93,41.85,37.83,39.25,,1751846400.0
2025-07-11,39.29,44.57,38.18,41.99,,1752192000.0
2025-07-15,42.06,44.43,40.63,43.08,,1752537600.0
2025-07-19,43.14,47.23,41.68,44.27,,1752883200.0
2025-07-23,44.29,45.95,42.38,44.09,,1753228800.0
2025-07-27,43.97,44.17,38.74,41.24,,1753574400.0
2025-07-31,41.33,43.29,37.34,38.43,,1753920000.0
2025-08-04,38.4,39.57,34.76,36.17,,1754265600.0
2025-08-08,36.15,38.14,34.85,38.14,,1754611200.0
2025-08-12,38.16,40.43,36.47,36.77,,1754956800.0
2025-08-16,36.68,41.03,36.12,36.49,,1755302400.0
2025-08-20,36.49,38.05,34.62,34.62,,1755648000.0
2025-08-24,34.62,44.94,34.5,44.77,,1755993600.0
2025-08-28,44.84,44.84,39.02,42.11,,1756339200.0
2025-09-01,42.16,43.53,39.65,40.63,,1756684800.0
2025-09-05,40.57,42.97,38.78,40.75,,1757030400.0
