id,symbol,name,market_cap_rank,current_price,market_cap,total_volume,price_change_percentage_24h,last_updated
bitcoin,BTC,Bitcoin,1,91805.0,1836043841538,87614810979.0,0.37382,2025-11-20T13:36:44.269Z
ethereum,ETH,Ethereum,2,3013.29,364739779899,37971822913.0,-2.08413,2025-11-20T13:36:44.975Z
ripple,XRP,XRP,4,2.13,127985511084,6066423581.0,-0.19538,2025-11-20T13:36:44.904Z
binancecoin,BNB,BNB,5,900.34,124391600826,2529868096.0,-2.15842,2025-11-20T13:36:44.033Z
solana,SOL,Solana,6,141.81,78471946367,7296593224.0,2.33947,2025-11-20T13:36:44.867Z
tron,TRX,TRON,8,0.284726,26961896849,793660418.0,-1.14466,2025-11-20T13:36:48.919Z
staked-ether,STETH,Lido Staked Ether,9,3011.9,26054372336,43082747.0,-2.15932,2025-11-20T13:36:44.376Z
dogecoin,DOGE,Dogecoin,10,0.158181,24044094014,2263419586.0,0.11615,2025-11-20T13:36:44.685Z
cardano,ADA,Cardano,11,0.466637,17112834223,1136013256.0,-0.05091,2025-11-20T13:36:44.959Z
figure-heloc,FIGR_HELOC,Figure Heloc,12,1.034,14210897789,16674433.0,0.26587,2025-11-20T13:36:44.358Z
whitebit,WBT,WhiteBIT Coin,13,60.04,12895000200,185253344.0,-1.1028,2025-11-20T13:36:44.374Z
wrapped-steth,WSTETH,Wrapped stETH,14,3681.56,12033788009,62099131.0,-1.98482,2025-11-20T13:36:44.419Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,16,91695.0,11640178936,438111403.0,0.14825,2025-11-20T13:36:44.707Z
zcash,ZEC,Zcash,15,704.38,11607098309,2426416866.0,12.6774,2025-11-20T13:36:43.526Z
wrapped-beacon-eth,WBETH,Wrapped Beacon ETH,17,3265.05,10678908391,28080286.0,-2.09491,2025-11-20T13:36:44.376Z
hyperliquid,HYPE,Hyperliquid,18,39.11,10598333471,415506215.0,2.58503,2025-11-20T13:36:44.459Z
bitcoin-cash,BCH,Bitcoin Cash,19,501.97,9997725069,419358113.0,2.03681,2025-11-20T13:36:47.066Z
chainlink,LINK,Chainlink,20,13.72,9597983737,921827246.0,2.4412,2025-11-20T13:36:44.962Z
usds,USDS,USDS,21,0.999723,9140504611,7611223.0,0.00176,2025-11-20T13:36:44.554Z
binance-bridged-usdt-bnb-smart-chain,BSC-USD,Binance Bridged USDT (BNB Smart Chain),22,0.999567,8981101671,1660941390.0,0.12697,2025-11-20T13:36:45.197Z
leo-token,LEO,LEO Token,23,9.43,8674133874,597891.0,0.35609,2025-11-20T13:36:44.431Z
stellar,XLM,Stellar,24,0.252179,8137544207,186286834.0,2.1129,2025-11-20T13:36:44.801Z
weth,WETH,WETH,25,3019.49,7865395137,264289559.0,-1.9661,2025-11-20T13:36:45.276Z
wrapped-eeth,WEETH,Wrapped eETH,26,3264.25,7746078702,29739804.0,-2.17447,2025-11-20T13:36:44.624Z
ethena-usde,USDE,Ethena USDe,27,0.997546,7599590978,292484611.0,-0.09778,2025-11-20T13:36:44.924Z
litecoin,LTC,Litecoin,28,92.37,7075714832,668972096.0,-0.97315,2025-11-20T13:36:45.344Z
monero,XMR,Monero,29,364.72,6739564407,178336305.0,-3.88454,2025-11-20T13:36:44.485Z
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,30,91986.0,6727674045,627571400.0,0.36704,2025-11-20T13:36:44.852Z
hedera-hashgraph,HBAR,Hedera,31,0.145946,6204590100,236817033.0,-0.30995,2025-11-20T13:36:45.437Z
avalanche-2,AVAX,Avalanche,32,14.41,6176691051,494170599.0,-0.31242,2025-11-20T13:36:45.725Z
sui,SUI,Sui,33,1.64,6048651850,925560591.0,-0.33963,2025-11-20T13:36:44.892Z
shiba-inu,SHIB,Shiba Inu,34,8.73e-06,5132006760,169181472.0,0.51228,2025-11-20T13:36:45.054Z
uniswap,UNI,Uniswap,35,7.28,4569163053,698461192.0,0.44238,2025-11-20T13:36:46.588Z
polkadot,DOT,Polkadot,36,2.79,4560398373,245914696.0,3.00098,2025-11-20T13:36:44.846Z
ethena-staked-usde,SUSDE,Ethena Staked USDe,38,1.2,4365224861,59387723.0,-0.02937,2025-11-20T13:36:45.020Z
the-open-network,TON,Toncoin,39,1.72,4271787383,131238171.0,-2.6638,2025-11-20T13:36:45.021Z
crypto-com-chain,CRO,Cronos,40,0.108455,4059666591,33857013.0,-2.24628,2025-11-20T13:36:44.609Z
world-liberty-financial,WLFI,World Liberty Financial,42,0.14192,3885975105,146930325.0,1.75891,2025-11-20T13:36:44.635Z
susds,SUSDS,sUSDS,43,1.076,3709687136,9596812.0,0.32624,2025-11-20T13:36:44.572Z
mantle,MNT,Mantle,44,1.11,3604494461,92688142.0,-1.0028,2025-11-20T13:36:44.992Z
paypal-usd,PYUSD,PayPal USD,45,0.999925,3519163936,153826958.0,0.02337,2025-11-20T13:36:49.857Z
memecore,M,MemeCore,46,2.06,3512991173,18229224.0,-0.43724,2025-11-20T13:36:44.555Z
canton-network,CC,Canton,47,0.095051,3362280861,41280970.0,-11.34026,2025-11-20T13:36:44.532Z
bittensor,TAO,Bittensor,48,329.39,3177688033,208011138.0,1.69634,2025-11-20T13:36:45.210Z
near,NEAR,NEAR Protocol,49,2.35,2999596926,544887178.0,3.02681,2025-11-20T13:36:44.843Z
usd1-wlfi,USD1,USD1,50,0.998285,2739977975,387476529.0,-0.03079,2025-11-20T13:36:44.944Z
aave,AAVE,Aave,51,177.52,2695335001,320777509.0,1.99851,2025-11-20T13:36:45.933Z
internet-computer,ICP,Internet Computer,52,4.97,2693168202,338052173.0,0.44601,2025-11-20T13:36:45.304Z
aster-2,ASTER,Aster,53,1.28,2591729433,779319627.0,-4.27076,2025-11-20T13:36:45.272Z
c1usd,C1USD,Currency One USD,54,0.997494,2543609808,295515.0,-0.57969,2025-11-20T13:36:45.300Z
bitget-token,BGB,Bitget Token,55,3.61,2523137558,74532325.0,-0.84434,2025-11-20T13:36:46.766Z
okb,OKB,OKB,56,110.75,2328361485,45348629.0,-1.78385,2025-11-20T13:36:44.666Z
ethereum-classic,ETC,Ethereum Classic,58,14.35,2220128360,94609809.0,-0.23387,2025-11-20T13:36:44.811Z
aptos,APT,Aptos,59,3.02,2214464917,345615663.0,5.48526,2025-11-20T13:36:45.351Z
falcon-finance,USDF,Falcon USD,60,0.993588,2182685662,3456261.0,-0.48856,2025-11-20T13:36:44.667Z
tether-gold,XAUT,Tether Gold,61,4057.75,2120652328,348426310.0,-0.58305,2025-11-20T13:36:45.383Z
pi-network,PI,Pi Network,62,0.250146,2085362759,84687691.0,8.12752,2025-11-20T13:36:44.700Z
pepe,PEPE,Pepe,63,4.9e-06,2064364764,427176803.0,2.33264,2025-11-20T13:36:45.125Z
ethena,ENA,Ethena,64,0.2729,2023477196,336004635.0,1.85794,2025-11-20T13:36:45.170Z
jito-staked-sol,JITOSOL,Jito Staked SOL,65,176.64,1995096227,24067594.0,2.73952,2025-11-20T13:36:45.518Z
jupiter-perpetuals-liquidity-provider-token,JLP,Jupiter Perpetuals Liquidity Provider Token,66,4.74,1929946836,33835727.0,0.97939,2025-11-20T13:36:44.674Z
pump-fun,PUMP,Pump.fun,68,0.0031765,1873831571,231341703.0,4.59208,2025-11-20T13:36:44.845Z
ondo-finance,ONDO,Ondo,70,0.54356,1722232096,117078793.0,1.50539,2025-11-20T13:36:45.202Z
worldcoin-wld,WLD,Worldcoin,71,0.70565,1651034740,166124649.0,5.81555,2025-11-20T13:36:45.349Z
htx-dao,HTX,HTX DAO,72,1.77e-06,1644266526,10779353.0,-0.14738,2025-11-20T13:36:45.688Z
polygon-ecosystem-token,POL,POL (ex-MATIC),73,0.151153,1593671724,86800755.0,3.10677,2025-11-20T13:36:44.953Z
kucoin-shares,KCS,KuCoin,74,12.01,1559041041,6898695.0,-0.79457,2025-11-20T13:36:49.995Z
